City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kalmunai,LK,7.42,81.82,84.87,69,95,11.86,overcast clouds,0,0
1,Albany,US,42.6,-73.97,71.01,71,39,2.71,scattered clouds,0,0
2,Coihaique,CL,-45.58,-72.07,30.2,92,75,3.36,broken clouds,0,0
3,Atuona,PF,-9.8,-139.03,79.77,75,8,18.68,clear sky,0,0
4,Manakara,MG,-22.13,48.02,64.04,90,1,2.89,clear sky,0,0
5,Longyearbyen,SJ,78.22,15.64,44.6,81,75,5.82,broken clouds,0,0
6,Dikson,RU,73.51,80.55,40.15,91,98,13.4,overcast clouds,0,0
7,Pakxan,LA,18.38,103.66,87.39,67,44,2.62,moderate rain,1.38,0
8,Acapulco,MX,16.86,-99.89,84.2,79,40,4.7,scattered clouds,0,0
9,Pevek,RU,69.7,170.31,41.72,77,22,6.33,few clouds,0,0
10,Matara,LK,5.95,80.54,82.58,81,84,10.31,light rain,0.58,0
11,Jambi,ID,-1.6,103.62,81.07,74,100,3.71,overcast clouds,0,0
12,Puerto Ayora,EC,-0.74,-90.35,66.99,93,90,3.0,overcast clouds,0,0
13,Narsaq,GL,60.92,-46.05,46.4,87,100,5.82,overcast clouds,0,0
14,Avera,US,33.19,-82.53,80.6,88,1,2.82,clear sky,0,0
15,Yulara,AU,-25.24,130.99,59.0,30,7,2.24,clear sky,0,0
16,Tautira,PF,-17.73,-149.15,78.8,83,75,3.36,shower rain,0,0
17,Nyurba,RU,63.28,118.33,79.66,46,37,6.55,scattered clouds,0,0
18,Mataura,NZ,-46.19,168.86,47.52,73,5,4.36,clear sky,0,0
19,Mount Gambier,AU,-37.83,140.77,50.0,87,57,6.93,broken clouds,0,0
20,Clonmel,IE,52.35,-7.7,55.99,89,99,1.99,overcast clouds,0,0
21,Port Elizabeth,ZA,-33.92,25.57,48.2,76,72,13.87,broken clouds,0,0
22,Luderitz,NA,-26.65,15.16,51.8,62,0,4.7,clear sky,0,0
23,Malakal,SS,9.53,31.66,72.93,92,75,3.76,broken clouds,0,0
24,Hobart,AU,-42.88,147.33,50.0,76,75,8.05,broken clouds,0,0
25,Pisco,PE,-13.7,-76.22,60.8,87,2,9.17,clear sky,0,0
26,Rikitea,PF,-23.12,-134.97,72.46,85,100,10.96,overcast clouds,0,0
27,Kankon,IN,15.02,74.02,77.0,100,75,6.93,broken clouds,0,0
28,Khatanga,RU,71.97,102.5,60.42,74,100,10.74,light rain,0.57,0
29,Touros,BR,-5.2,-35.46,73.4,94,20,4.7,few clouds,0,0
30,Sorong,ID,-0.88,131.25,84.65,67,65,2.68,broken clouds,0,0
31,Ushuaia,AR,-54.8,-68.3,28.4,92,40,3.36,scattered clouds,0,0
32,Laguna,US,38.42,-121.42,82.4,39,1,12.75,clear sky,0,0
33,Punta Arenas,CL,-53.15,-70.92,30.2,92,86,4.7,overcast clouds,0,0
34,Matagami,CA,49.75,-77.63,64.4,77,40,4.29,scattered clouds,0,0
35,Kapaa,US,22.08,-159.32,80.01,78,75,13.87,light rain,0.38,0
36,Cape Town,ZA,-33.93,18.42,46.4,75,0,10.29,clear sky,0,0
37,Vardo,NO,70.37,31.11,44.6,93,75,4.7,broken clouds,0,0
38,Luebo,CD,-5.35,21.42,69.26,74,49,1.72,scattered clouds,0,0
39,Mareeba,AU,-17.0,145.43,79.0,47,82,11.41,broken clouds,0,0
40,Saint-Francois,FR,46.42,3.91,57.99,76,100,1.12,overcast clouds,0,0
41,Jadu,LY,31.95,12.03,71.02,53,0,15.37,clear sky,0,0
42,Chuy,UY,-33.7,-53.46,36.55,82,0,6.11,clear sky,0,0
43,New Norfolk,AU,-42.78,147.06,50.0,87,100,1.81,overcast clouds,0,0
44,Krasnoselkup,RU,65.7,82.47,54.64,60,60,13.27,broken clouds,0,0
45,Port Alfred,ZA,-33.59,26.89,50.67,73,92,15.21,light rain,0.19,0
46,Morant Bay,JM,17.88,-76.41,87.8,62,20,14.99,few clouds,0,0
47,Saint-Pierre,RE,-21.34,55.48,68.0,68,0,6.93,clear sky,0,0
48,Tuktoyaktuk,CA,69.45,-133.04,55.4,71,75,13.87,broken clouds,0,0
49,Saint-Philippe,RE,-21.36,55.77,68.0,68,20,6.93,light rain,0.11,0
50,Sao Filipe,CV,14.9,-24.5,77.25,84,47,8.99,scattered clouds,0,0
51,Hualmay,PE,-11.1,-77.61,61.07,85,47,7.72,scattered clouds,0,0
52,Busselton,AU,-33.65,115.33,55.99,91,76,5.01,light rain,0.14,0
53,Hvolsvollur,IS,63.75,-20.22,52.0,97,99,2.26,overcast clouds,0,0
54,Hermanus,ZA,-34.42,19.23,37.0,94,0,8.48,clear sky,0,0
55,Hay River,CA,60.82,-115.8,55.4,87,75,9.17,broken clouds,0,0
56,Sitka,US,57.05,-135.33,55.4,87,90,19.46,mist,0,0
57,Quelimane,MZ,-17.88,36.89,57.13,91,0,1.83,clear sky,0,0
58,Upernavik,GL,72.79,-56.15,42.6,81,100,9.22,overcast clouds,0,0
59,Timbiqui,CO,2.77,-77.67,77.5,86,87,2.53,overcast clouds,0,0
60,Barrow,US,71.29,-156.79,39.2,80,75,11.41,broken clouds,0,0
61,Thompson,CA,55.74,-97.86,60.8,87,90,9.17,overcast clouds,0,0
62,Lyskovo,RU,56.03,45.04,67.86,90,33,9.95,scattered clouds,0,0
63,Avarua,CK,-21.21,-159.78,71.6,64,43,6.93,light rain,0.11,0
64,Dinghai,CN,26.28,119.79,87.8,70,100,11.18,overcast clouds,0,0
65,Belfast,GB,54.58,-5.93,55.4,87,100,8.05,overcast clouds,0,0
66,Porto Novo,BJ,6.5,2.6,74.98,82,100,9.55,overcast clouds,0,0
67,Kenai,US,60.55,-151.26,71.6,48,1,10.29,clear sky,0,0
68,Saint-Augustin,CA,51.23,-58.65,48.33,88,7,7.31,clear sky,0,0
69,Porto Belo,BR,-27.16,-48.55,59.0,72,75,5.82,broken clouds,0,0
70,Vostok,RU,46.49,135.88,71.65,75,46,2.68,light rain,0.68,0
71,Jamestown,US,42.1,-79.24,64.4,77,1,4.7,clear sky,0,0
72,Palmer,US,42.16,-72.33,66.2,88,40,4.88,scattered clouds,0,0
73,Stalowa Wola,PL,50.58,22.05,53.01,81,0,1.01,clear sky,0,0
74,Kaitangata,NZ,-46.28,169.85,50.0,69,32,4.0,scattered clouds,0,0
75,Severo-Kurilsk,RU,50.68,156.12,56.12,79,79,10.58,broken clouds,0,0
76,Ostrovnoy,RU,68.05,39.51,47.23,79,100,8.39,overcast clouds,0,0
77,Georgetown,MY,5.41,100.34,86.0,83,20,4.7,few clouds,0,0
78,Batagay-Alyta,RU,67.8,130.41,66.43,47,49,5.91,scattered clouds,0,0
79,Tagab,AF,34.85,69.65,69.8,68,40,3.06,haze,0,0
80,Vaini,TO,-21.2,-175.2,75.2,73,75,11.41,broken clouds,0,0
81,Pozo Colorado,PY,-23.49,-58.8,55.36,68,0,7.9,clear sky,0,0
82,Bengkulu,ID,-3.8,102.27,81.43,65,97,0.63,overcast clouds,0,0
83,Bredasdorp,ZA,-34.53,20.04,39.2,93,0,6.93,clear sky,0,0
84,Grindavik,IS,63.84,-22.43,50.0,100,75,2.24,mist,0,0
85,Souillac,MU,-20.52,57.52,71.6,83,40,11.41,scattered clouds,0,0
86,Roald,NO,62.58,6.13,52.0,93,0,3.36,clear sky,0,0
87,Kavieng,PG,-2.57,150.8,85.21,62,100,5.03,overcast clouds,0,0
88,Nikolskoye,RU,59.7,30.79,57.0,81,94,2.24,overcast clouds,0,0
89,Fort Nelson,CA,58.81,-122.7,73.4,35,75,3.36,broken clouds,0,0
90,Krasnoye,UA,49.91,24.61,48.2,93,0,2.24,clear sky,0,0
91,Bethel,US,41.37,-73.41,68.0,88,1,4.81,clear sky,0,0
92,Ngunguru,NZ,-35.62,174.5,59.0,3,100,8.01,heavy intensity rain,5.66,0
93,Qaanaaq,GL,77.48,-69.36,40.71,83,100,7.67,overcast clouds,0,0
94,Butaritari,KI,3.07,172.79,79.48,76,100,7.54,overcast clouds,0,0
95,Celestun,MX,20.87,-90.4,82.89,73,0,16.31,clear sky,0,0
96,San Cristobal,VE,7.77,-72.22,64.83,85,10,2.28,clear sky,0,0
97,Apatity,RU,67.56,33.4,51.37,77,24,1.34,few clouds,0,0
98,Esperance,AU,-33.87,121.9,55.4,71,0,10.29,clear sky,0,0
99,Ciudad Bolivar,VE,8.12,-63.55,77.99,86,28,7.76,scattered clouds,0,0
100,Andros Town,BS,24.7,-77.77,82.4,78,40,7.38,scattered clouds,0,0
101,Bluff,NZ,-46.6,168.33,47.82,75,0,11.48,clear sky,0,0
102,Lebu,CL,-37.62,-73.65,50.16,76,0,3.47,clear sky,0,0
103,Tuy Hoa,VN,13.08,109.3,89.28,59,49,2.44,scattered clouds,0,0
104,Ketchikan,US,55.34,-131.65,57.2,93,90,11.41,overcast clouds,0,0
105,Egvekinot,RU,66.32,-179.17,47.57,87,100,3.4,overcast clouds,0,0
106,Chinsali,ZM,-10.54,32.08,53.37,64,0,6.76,clear sky,0,0
107,Hithadhoo,MV,-0.6,73.08,83.44,70,41,1.43,light rain,0.31,0
108,Mar Del Plata,AR,-38.0,-57.56,42.01,69,1,3.36,clear sky,0,0
109,Saskylakh,RU,71.92,114.08,72.55,60,64,13.87,broken clouds,0,0
110,Plerin,FR,48.54,-2.78,57.0,11,94,11.5,overcast clouds,0,0
111,Pirovskoye,RU,57.63,92.27,61.12,57,50,12.17,scattered clouds,0,0
112,Morondava,MG,-20.28,44.28,65.86,79,0,8.5,clear sky,0,0
113,Westport,US,41.14,-73.36,71.01,95,54,7.45,broken clouds,0,0
114,Isangel,VU,-19.55,169.27,78.8,78,75,5.82,broken clouds,0,0
115,Adrar,MR,20.5,-10.07,93.31,23,43,7.83,scattered clouds,0,0
116,Uaua,BR,-9.84,-39.48,67.03,83,10,9.4,clear sky,0,0
117,Dasoguz,TM,41.84,59.97,82.4,32,0,9.17,clear sky,0,0
118,Tadepallegudem,IN,16.83,81.5,80.6,94,90,5.82,overcast clouds,0,0
119,Norman Wells,CA,65.28,-126.83,75.2,33,40,8.05,shower rain,0,0
120,Derzhavinsk,KZ,51.1,66.32,77.95,58,22,9.28,few clouds,0,0
121,Takaungu,KE,-3.68,39.86,73.4,94,20,6.93,few clouds,0,0
122,Gijon,ES,43.54,-5.66,63.0,100,75,1.63,light rain,0,0
123,Mahebourg,MU,-20.41,57.7,71.6,83,40,11.41,scattered clouds,0,0
124,Cidreira,BR,-30.18,-50.21,44.33,72,0,9.8,clear sky,0,0
125,Green River,US,41.53,-109.47,75.2,16,1,21.92,clear sky,0,0
126,Tungi,BD,23.89,90.41,84.2,70,75,5.82,haze,0,0
127,Chokurdakh,RU,70.63,147.92,42.04,65,100,11.83,overcast clouds,0,0
128,Roswell,US,34.02,-84.36,82.4,74,40,3.36,scattered clouds,0,0
129,Te Anau,NZ,-45.42,167.72,45.27,72,21,0.92,few clouds,0,0
130,Gat,IL,31.61,34.76,73.0,83,75,9.17,broken clouds,0,0
131,Rock Sound,BS,24.9,-76.2,83.95,73,98,7.47,overcast clouds,0,0
132,Searcy,US,35.25,-91.74,84.2,83,1,6.93,clear sky,0,0
133,La Palma,US,33.85,-118.05,77.0,57,1,8.05,clear sky,0,0
134,Palana,RU,59.12,159.97,50.86,93,97,9.86,overcast clouds,0,0
135,Alugan,PH,12.22,125.48,86.38,66,22,8.05,few clouds,0,0
136,Dingle,PH,11.0,122.67,88.14,65,15,6.33,few clouds,0,0
137,Port-Gentil,GA,-0.72,8.78,73.2,84,100,11.54,overcast clouds,0,0
138,Arman,RU,59.7,150.17,59.59,76,76,6.67,broken clouds,0,0
139,Tilichiki,RU,60.47,166.1,51.64,91,100,7.27,overcast clouds,0,0
140,Lethem,GY,3.38,-59.8,74.79,84,5,1.7,light rain,0.3,0
141,Sao Joao Da Barra,BR,-21.64,-41.05,70.63,84,99,14.18,overcast clouds,0,0
142,Pangkalanbuun,ID,-2.68,111.62,88.84,58,18,2.08,few clouds,0,0
143,Perigueux,FR,45.18,0.72,62.01,81,96,5.97,overcast clouds,0,0
144,Vitim,RU,59.45,112.56,89.19,36,57,2.08,broken clouds,0,0
145,Riyadh,SA,24.69,46.72,93.2,23,0,3.36,clear sky,0,0
146,Ribeira Grande,PT,38.52,-28.7,69.15,80,0,4.94,clear sky,0,0
147,Bamako,ML,12.65,-8.0,78.8,83,15,6.93,few clouds,0,0
148,Bandarbeyla,SO,9.49,50.81,81.88,57,100,24.11,overcast clouds,0,0
149,Alta Floresta,BR,-9.88,-56.09,70.84,45,7,3.24,clear sky,0,0
150,Henties Bay,NA,-22.12,14.28,62.74,39,0,4.88,clear sky,0,0
151,Torbay,CA,47.67,-52.73,52.0,93,90,11.41,overcast clouds,0,0
152,Narasannapeta,IN,18.42,84.05,80.89,83,100,5.79,overcast clouds,0,0
153,Sumbe,AO,-11.21,13.84,68.79,87,10,4.12,clear sky,0,0
154,Ponta Do Sol,PT,32.67,-17.1,75.0,37,0,5.86,clear sky,0,0
155,Vestmannaeyjar,IS,63.44,-20.27,52.74,91,99,7.18,light rain,0.15,0
156,Linhares,BR,-19.39,-40.07,69.64,92,5,4.27,clear sky,0,0
157,Almeirim,BR,-1.52,-52.58,73.09,94,0,2.73,clear sky,0,0
