City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,61.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
3,Bethel,US,70.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
5,Rikitea,PF,72.79,overcast clouds,-23.12,-134.97,Pension Maro'i
13,Guerrero Negro,MX,69.85,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
14,Muzhi,RU,65.17,scattered clouds,65.37,64.67,
21,Benguela,AO,66.31,scattered clouds,-12.58,13.41,Hotel Praia Morena
31,Albany,US,70.0,few clouds,42.6,-73.97,
32,Khatanga,RU,74.05,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
33,Nouadhibou,MR,68.95,clear sky,20.93,-17.03,El Medina
34,Vila Franca Do Campo,PT,64.4,few clouds,37.72,-25.43,Pestana Bahia Praia
36,Thompson,CA,60.8,broken clouds,55.74,-97.86,Burntwood Hotel
37,Porto Novo,BJ,74.68,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
38,Puerto Ayora,EC,66.99,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
41,Magione,IT,66.0,broken clouds,43.14,12.21,Villaggio Albergo Le Tre Isole
44,Yulara,AU,66.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
47,Ponta Delgada,PT,64.4,few clouds,37.73,-25.67,Vila Nova Hotel
49,Van,TR,68.0,few clouds,38.49,43.38,Elite World Van Hotel
51,Axim,GH,74.5,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
52,Busselton,AU,60.01,light rain,-33.65,115.33,Observatory Guest House
55,Igrim,RU,67.24,scattered clouds,63.19,64.42,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
56,Alofi,NU,71.6,scattered clouds,-19.06,-169.92,Taloa Heights
59,Toamasina,MG,66.2,few clouds,-18.17,49.38,Hotel H1
71,Yenagoa,NG,74.17,light rain,4.92,6.26,Amba Hotels Limited
75,Fairbanks,US,64.4,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
78,Itarema,BR,74.71,scattered clouds,-2.92,-39.92,Windvillage
82,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,San-Pedro,CI,74.7,overcast clouds,4.75,-6.64,Hotel Maria
86,Avarua,CK,68.0,overcast clouds,-21.21,-159.78,Paradise Inn
91,Gamboma,CG,73.26,broken clouds,-1.88,15.86,Hotel Vianette
94,Ribeira Grande,PT,68.77,scattered clouds,38.52,-28.7,Quinta da Meia Eira
100,Ballina,AU,66.2,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
105,Pisco,PE,60.01,mist,-13.7,-76.22,Hostal San Isidro Oficial
108,Hualmay,PE,60.3,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
109,Mahebourg,MU,71.6,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
110,Wembley,AU,64.0,scattered clouds,-31.93,115.8,Quest on Rheola
114,Sydney,AU,61.0,shower rain,-33.87,151.21,QT Sydney
123,Pemba,MZ,71.73,broken clouds,-12.97,40.52,Guesthouse Samotina
124,Omsukchan,RU,72.63,scattered clouds,62.53,155.8,
125,North Platte,US,66.99,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
126,Novikovo,RU,63.88,heavy intensity rain,51.15,37.89,
127,Batagay,RU,69.46,broken clouds,67.63,134.63,
128,Peniche,PT,64.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
129,Iguape,BR,65.3,overcast clouds,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
130,Lata,PT,66.99,scattered clouds,40.16,-8.33,Casa Maquia
132,Brokopondo,SR,74.84,clear sky,4.75,-55.17,Matu Island
133,Omboue,GA,71.69,overcast clouds,-1.57,9.26,Hotel Olako
137,Arraial Do Cabo,BR,72.48,clear sky,-22.97,-42.03,Pousada Porto Praia
139,Arteaga,MX,63.01,scattered clouds,18.47,-102.42,
140,Cabra,ES,73.99,clear sky,37.47,-4.44,MS Fuente Las Piedras
142,Nelson Bay,AU,61.0,light intensity shower rain,-32.72,152.15,Mantra Nelson Bay
143,Huejuquilla El Alto,MX,63.81,scattered clouds,22.6,-103.87,Hotel Huexuquillan
148,Cabedelo,BR,74.43,clear sky,-6.98,-34.83,Lua Mansa Pousada
151,Olinda,BR,71.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
153,Puerto Baquerizo Moreno,EC,66.49,clear sky,-0.9,-89.6,Hotel los Algarrobos
155,Mount Isa,AU,71.6,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
158,Vila Velha,BR,66.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
160,Vostok,RU,69.15,moderate rain,46.49,135.88,
166,Maralal,KE,61.2,light rain,1.1,36.7,Ngari Hill Ecolodge
167,Ambovombe,MG,67.95,clear sky,-25.17,46.08,MONJA Talilisoa
173,Evinayong,GQ,67.19,overcast clouds,1.44,10.55,
176,Nikolskoye,RU,62.01,clear sky,59.7,30.79,Tourist House - Sablino
177,Gikongoro,RW,63.97,overcast clouds,-2.46,29.57,Ubumwe Center Kigeme Ltd
178,Angoche,MZ,72.61,broken clouds,-16.23,39.91,Guest House HESADA
179,Xai-Xai,MZ,60.87,clear sky,-25.05,33.64,Platinum Hotel
186,Horta,PT,68.61,scattered clouds,38.53,-28.63,Hotel do Canal | Horta - Faial
189,Libenge,CD,71.42,overcast clouds,3.65,18.63,
194,Morondava,MG,69.48,clear sky,-20.28,44.28,La Case Bambou
202,Batouri,CM,68.4,overcast clouds,4.43,14.37,Hotel Hollywood
209,Bessemer,US,73.99,clear sky,33.4,-86.95,"Motel 6 Bessemer, AL - Birmingham"
210,Zhigansk,RU,72.77,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
215,Belyy Yar,RU,69.8,light rain,53.6,91.39,Pasportnyy Stol
216,Newport,GB,62.01,broken clouds,51.59,-3.0,ibis budget Newport
217,Talaya,RU,71.83,overcast clouds,61.38,152.75,
219,Lagoa,PT,67.96,few clouds,39.05,-27.98,Casa Das Faias
220,Parambu,BR,67.19,few clouds,-6.21,-40.69,Hotel pousada santo onofre
224,Maryville,US,73.4,clear sky,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
228,San Cristobal,VE,64.6,overcast clouds,7.77,-72.22,Pirineos
235,Ponta Do Sol,PT,69.01,clear sky,32.67,-17.1,Hotel do Campo
238,Srednekolymsk,RU,71.11,overcast clouds,67.45,153.68,
242,Raga,SS,71.76,overcast clouds,8.46,25.68,
244,Sochi,RU,68.0,thunderstorm,43.6,39.73,Bounty Hotel
248,Itaituba,BR,71.87,scattered clouds,-4.28,-55.98,Hotel Campos
249,Yamada,JP,65.55,light rain,39.47,141.95,Iroha-ya Inn
251,Mareeba,AU,75.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
252,Vysokogornyy,RU,70.9,broken clouds,50.12,139.15,
253,Iquitos,PE,72.0,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
254,Muros,ES,62.01,broken clouds,42.78,-9.06,Apartment Av. Castelao
259,Kenitra,MA,71.6,broken clouds,34.26,-6.58,Bienvenue chez vous
260,Broome,US,62.6,clear sky,42.25,-75.83,Chenango Valley State Park
272,Saskylakh,RU,74.7,scattered clouds,71.92,114.08,
274,Torbay,CA,64.4,broken clouds,47.67,-52.73,Gallows Cove
276,Huarmey,PE,61.66,clear sky,-10.07,-78.15,Hotel Miramar
281,Kholm,RU,60.93,scattered clouds,59.27,32.85,
284,Thio,NC,73.4,overcast clouds,-21.62,166.22,La Ferme de Thio
290,Harwich,GB,61.0,moderate rain,51.94,1.28,Premier Inn Harwich hotel
292,Maraa,BR,71.56,scattered clouds,-1.83,-65.37,
297,Saurimo,AO,62.96,scattered clouds,-9.66,20.39,Hotel Kawissa Saurimo
298,Rauma,FI,60.8,clear sky,61.13,21.51,Kalliohovi Hotel
299,Mao,ES,73.4,clear sky,39.89,4.27,ARTIEM Capri
304,Khani,GE,73.4,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
308,Acarau,BR,74.62,scattered clouds,-2.89,-40.12,castelo pizzaria
309,Sarai,RU,72.21,overcast clouds,53.75,41.02,Gostinitsa Verda.
314,Beidao,CN,67.06,light rain,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
315,Puerto Leguizamo,CO,70.23,scattered clouds,-0.19,-74.78,la casona de juancho
318,Chokurdakh,RU,65.73,scattered clouds,70.63,147.92,
319,Byron Bay,AU,64.99,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
320,Agadir,MA,69.8,overcast clouds,30.42,-9.6,Iberostar Founty Beach
324,Kigorobya,UG,70.39,scattered clouds,1.62,31.31,Palace guest house kigorobya
327,Gamba,GA,71.06,overcast clouds,-2.65,10.0,
329,San Borja,BO,72.39,scattered clouds,-14.82,-66.85,
331,Alta Floresta,BR,70.12,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
332,Manakara,MG,69.49,few clouds,-22.13,48.02,La Residence Manakara
334,Bay City,US,64.99,clear sky,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
342,College,US,66.2,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
344,Kouroussa,GN,69.13,overcast clouds,10.65,-9.88,Hotel Tando Plus
349,Sycow,PL,63.0,few clouds,51.31,17.72,Aroma Stone Hotel Spa
350,Sao Miguel Dos Campos,BR,71.6,broken clouds,-9.78,-36.09,Lotu's Motel
351,Cherskiy,RU,62.53,overcast clouds,68.75,161.3,Gostinitsa
353,Canico,PT,69.01,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
360,Cestas,FR,63.0,overcast clouds,44.74,-0.68,Kyriad Direct
364,Wajima,JP,69.8,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
365,Petauke,ZM,63.1,clear sky,-14.24,31.33,Newline Lodge
366,Moba,CN,61.56,light rain,33.23,105.02,
373,Ofunato,JP,69.8,light rain,39.07,141.72,Ofunato Hot Spring
375,Airai,TL,70.21,few clouds,-8.93,125.41,Juvinal Martin
377,Shingu,JP,73.4,broken clouds,33.73,135.98,Shingu UI Hotel
378,Huicungo,PE,67.14,light rain,-7.28,-76.8,Gran Pajaten Trek
380,Adamas,GR,73.4,clear sky,36.73,24.43,Aphrodite of Milos
381,Nkwerre,NG,71.51,overcast clouds,5.76,7.11,Josh Motel
387,Nantucket,US,70.0,mist,41.28,-70.1,Jared Coffin House
389,Aklavik,CA,64.4,scattered clouds,68.22,-135.01,Aklavik Inn
406,Colares,PT,70.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
408,Halifax,CA,69.01,overcast clouds,44.65,-63.57,Hotel Halifax
409,Kyshtovka,RU,74.1,clear sky,56.55,76.63,Uyutnaya Mini-Hotel
410,Aripuana,BR,71.96,few clouds,-9.17,-60.63,
411,Frutal,BR,74.25,broken clouds,-20.02,-48.94,Hotel Recanto Dos Ipês
412,Butembo,CD,62.01,overcast clouds,0.15,29.28,Hotel Butembo
420,Beloha,MG,66.81,clear sky,-25.17,45.05,
421,Kungurtug,RU,74.07,light rain,50.6,97.52,
428,Mulanje,MW,66.97,clear sky,-16.03,35.5,Mulanje Motel
430,Norman Wells,CA,64.4,broken clouds,65.28,-126.83,Heritage Hotel
432,Poum,NC,74.34,broken clouds,-20.23,164.02,Gîte kajeon
433,Pont-Rouge,CA,64.99,overcast clouds,46.76,-71.7,Motel Bon-Air Pont-Rouge
436,Pozzuoli,IT,73.99,broken clouds,40.83,14.11,Hotel Gli Dei
438,Brasileia,BR,72.25,few clouds,-11.02,-68.75,Pousada Tobias
445,Souillac,MU,71.6,broken clouds,-20.52,57.52,Bils' Villa
447,At-Bashi,KG,71.26,light rain,41.17,75.81,Hostel At-Bashy
452,Kushiro,JP,64.4,broken clouds,42.98,144.37,東横INN釧路十字街
453,Ingham,US,66.99,clear sky,42.6,-84.38,Sunset Place
454,Geraldton,AU,64.4,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
455,Abaete,BR,62.13,clear sky,-19.16,-45.45,Hotel Millenium
457,Margate,GB,64.99,light rain,51.38,1.39,Premier Inn Margate hotel
459,Rodrigues Alves,BR,70.52,overcast clouds,-7.74,-72.65,Hotel José Pereira
463,Lichinga,MZ,61.02,clear sky,-13.31,35.24,Residencial Bendiak
466,Seoul,KR,73.4,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
469,Yuncheng,CN,71.98,light rain,35.02,110.99,晋州快捷酒店
473,Tymovskoye,RU,72.07,overcast clouds,50.85,142.66,"Gostinitsa ""Domashnyaya"""
476,Touros,BR,68.0,clear sky,-5.2,-35.46,INN NEW HORIZON
477,Mayor Pablo Lagerenza,PY,69.85,overcast clouds,-19.93,-60.77,
478,Prado,BR,69.01,broken clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
484,El Prat De Llobregat,ES,73.99,few clouds,41.33,2.09,Hotel Porta Fira
485,Cap-Aux-Meules,CA,61.23,broken clouds,47.38,-61.86,Auberge Madeli
486,Tankhoy,RU,73.94,broken clouds,51.55,105.13,Vizit Tsentr
495,Asau,RO,63.0,few clouds,46.43,26.4,Casa Mika Ciobanus
496,Gaoual,GN,72.84,light rain,11.75,-13.2,Hotel koliba
505,Charlestown,AU,60.01,moderate rain,-32.95,151.67,Panorama Motor Inn Hotel
513,San Jose,US,63.0,clear sky,37.34,-121.89,The Westin San Jose
514,Belmonte,BR,69.8,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
515,Ayagoz,KZ,71.46,light rain,47.97,80.44,Gostinitsa Nur
521,Poncitlan,MX,68.0,broken clouds,20.37,-102.92,Hotel Plaza Poncitlan
522,Rexburg,US,62.6,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
523,Paramonga,PE,60.31,clear sky,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
531,Deseronto,CA,64.0,scattered clouds,44.2,-77.05,Mohawk Bay Trailer Park
537,West Richland,US,69.8,clear sky,46.3,-119.36,Horn Rapids RV Resort
538,Mattawa,US,69.8,clear sky,46.74,-119.9,Sun & Sand Mobile Home Park
543,Marolambo,MG,69.01,few clouds,-20.05,48.12,local guide suport centre
546,Santa Isabel,BR,60.8,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
548,Inta,RU,62.6,broken clouds,66.03,60.17,Apartments in Inta city
550,Sayyan,YE,72.27,scattered clouds,15.17,44.32,الاستاذة مروى اليوسفي
559,Baraboo,US,71.01,clear sky,43.47,-89.74,Thunderbird Motor Inn
565,Rondonopolis,BR,71.73,few clouds,-16.47,-54.64,Serras Hotel
567,Sassandra,CI,74.79,overcast clouds,4.95,-6.08,la terrasse
573,Panguna,PG,74.8,light rain,-6.32,155.48,
581,Fayaoue,NC,74.64,overcast clouds,-20.65,166.53,Chez Dydyce Guesthouse
582,Bykovo,RU,63.0,overcast clouds,55.64,38.08,Hostel Malakhovka
