City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Blagoyevo,RU,7/12/2020 20:25,63.37,47.92,55.09,76,55,9.19
1,Te Anau,NZ,7/12/2020 20:25,-45.42,167.72,32.63,94,3,1.77
2,Saint-Philippe,RE,7/12/2020 20:25,-21.36,55.77,68,72,16,6.93
3,Nizhneudinsk,RU,7/12/2020 20:25,54.91,99.03,54.41,89,29,0.29
4,Westport,US,7/12/2020 20:22,41.14,-73.36,89.01,48,1,13.87
5,Punta Arenas,CL,7/12/2020 20:25,-53.15,-70.92,37.4,81,40,21.92
6,Mount Isa,AU,7/12/2020 20:23,-20.73,139.5,48.2,57,0,8.05
7,Mataura,NZ,7/12/2020 20:23,-46.19,168.86,39,83,90,3
8,Dikson,RU,7/12/2020 20:25,73.51,80.55,42.51,97,99,5.91
9,Bredasdorp,ZA,7/12/2020 20:25,-34.53,20.04,48.2,66,0,2.24
10,Rikitea,PF,7/12/2020 20:25,-23.12,-134.97,71.11,70,0,16.84
11,Chingirlau,KZ,7/12/2020 20:25,51.09,54.08,79.97,49,100,11.01
12,New Norfolk,AU,7/12/2020 20:24,-42.78,147.06,37.99,91,0,2.21
13,Qaanaaq,GL,7/12/2020 20:25,77.48,-69.36,47.61,59,79,4.41
14,Anadyr,RU,7/12/2020 20:24,64.75,177.48,57.2,67,81,6.71
15,Hobart,AU,7/12/2020 20:21,-42.88,147.33,39.99,93,75,9.17
16,Grand Gaube,MU,7/12/2020 20:25,-20.01,57.66,72,70,0,5.01
17,Atuona,PF,7/12/2020 20:21,-9.8,-139.03,80.6,73,1,22.91
18,Farah,AF,7/12/2020 20:25,32.5,62.5,72.79,31,0,4.9
19,Ushuaia,AR,7/12/2020 20:25,-54.8,-68.3,35.6,94,40,16.11
20,Thompson,CA,7/12/2020 20:23,55.74,-97.86,71.6,56,75,6.93
21,Hermanus,ZA,7/12/2020 20:23,-34.42,19.23,55,70,0,15.99
22,Rovaniemi,FI,7/12/2020 20:25,66.5,25.72,57.2,67,100,5.82
23,Nikolskoye,RU,7/12/2020 20:25,59.7,30.79,57,76,75,4.47
24,Fortuna,US,7/12/2020 20:25,40.6,-124.16,71.01,63,20,17.22
25,Meulaboh,ID,7/12/2020 20:25,4.14,96.13,76.28,86,100,5.12
26,Synya,RU,7/12/2020 20:25,65.37,58.04,54,93,15,8.61
27,Mardan,PK,7/12/2020 20:25,34.2,72.05,84.2,62,75,6.93
28,Bethel,US,7/12/2020 20:23,41.37,-73.41,88,51,1,11.41
29,Hilo,US,7/12/2020 20:22,19.73,-155.09,78.8,69,90,5.82
30,Surt,LY,7/12/2020 20:25,31.21,16.59,76.28,75,0,10.29
31,Yellowknife,CA,7/12/2020 20:24,62.46,-114.35,66.99,59,75,8.05
32,Hithadhoo,MV,7/12/2020 20:25,-0.6,73.08,85.32,68,84,7.16
33,Lebu,CL,7/12/2020 20:23,-37.62,-73.65,50.36,91,100,4.18
